#20 VOA ICF/MR|VOA20|1000 CHURCH STREET|HUNTSVILLE|35805||34.74334|-86.596032|638.41|NURSING HOME|MADISON||
#40 VOA ICF/MR|VOA40|1557 HIGHWAY 31 NORTHWEST|HARTSELLE|35640||34.460862|-86.948515|722.09|NURSING HOME|MORGAN||
ABBEVILLE FIRE & RESCUE|ABFR|201 BRADLEY ST|ABBEVILLE|36310||31.570942|-85.247838|448.01|EMS|HENRY||
ALABAMA RIVER PULP COMPANY|ARPC|2373 LENA LANDEGGER HWY CR 39|PERDUE HILL|36470||31.5138|-87.4933|383.46|EMS|MONROE||
ALABASTER FIRE AND RESCUE SERVICE|ALFR|890 1ST AVE WEST|ALABASTER|35007||33.244337|-86.826472|489.17|EMS|SHELBY||
ALABASTER HEALTH CARE CENTER|AHCC|850  N. W. 9TH STREET|ALABASTER|35007||33.253903|-86.826764|534.5|NURSING HOME|SHELBY||
ALBERT P. BREWER-BAYSIDE DEVELOPMENTAL CENTER|ABBDC|7400 ROPER LANE|DAPHNE|36526||30.635566|-87.8972|164.16|NURSING HOME|BALDWIN||
ALBERT THOMAS MEDICAL CENTER|A/T|1904 BISHOP AVENUE|PRICHARD|36610|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|MOBILE||0
ALBERTA HEALTH CENTER|RHMP-|HIGHWAY 5 SOUTH|ALBERTA|36720|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|DALLAS||0
ALBERTVILLE FIRE/RESCUE|ALFR|212 S BROAD ST|ALBERTVILLE|35950||34.266637|-86.20925|1073.6|EMS|MARSHALL||
ALBERTVILLE NURSING HOME|ANH|750 ALABAMA HIGHWAY 75 NORTH|ALBERTVILLE|35951||34.281525|-86.193272|1076.6|NURSING HOME|MARSHALL||
ALEXANDER CITY FIRE MEDICS|ACFM|38 COURT SQ|ALEXANDER CITY|35010||32.944237|-85.954219|696.65|EMS|TALLAPOOSA||
ALICE M. KIDD INTERMEDIATE CARE FACILITY|AKICF|201 UNIVERSITY BOULEVARD|TUSCALOOSA|35401||33.207886|-87.537589|213.37|NURSING HOME|TUSCALOOSA||
ALICEVILLE MANOR NURSING HOME|AMNH|703 SEVENTEENTH STREET, NORTHWEST|ALICEVILLE|35442||33.137793|-88.165572|187.15|NURSING HOME|PICKENS||
ALLEN MEMORIAL HOME|AMH|735 SOUTH WASHINGTON AVENUE|MOBILE|36603||30.672554|-88.051983|12.61|NURSING HOME|MOBILE||
ALLGOOD VOL FIRE & RESCUE|AVFR|4535 OLD HWY 75 N|ALLGOOD|35013||33.9119|-86.5094|786.05|EMS|BLOUNT||
ALTA POINTE|AP|5800 SOUTHLAND DRIVE|MOBILE|36693||30.624548|-88.176004|-1|HOSPITAL|MOBILE||
ALTERNATE CARE SITE|ACS| | |0||-1|-1|-1|MEDICAL NEEDS SHELTER|MONTGOMERY||
ALTOONA HEALTH & REHAB|AHR|6532 WALNUT GROVE ROAD|ALTOONA|35952||34.056235|-86.308911|898.57|NURSING HOME|ETOWAH||
AM SERV EMS OF BIBB|AMSEB|437 BELCHER ST|CENTREVILLE|35042||32.95037|-87.14699|250.45|EMS|BIBB||
AMERICAN AMBULANCE SERVICE CULLMAN|AASC|1944 MAIN AVE SW|CULLMAN|35055||34.14927|-86.848077|757.56|EMS|CULLMAN||
AMERICAN AMBULANCE SERVICE MORGAN|AASM|51 W 2ND ST|FALKVILLE|35622||34.367938|-86.909231|607.86|EMS|MORGAN||
AMERICAN RED CROSS|ARC|5015 WOODS CROSSING DR|MONTGOMERY|36106||32.360859|-86.220805|-1|BLOOD CENTER|MONTGOMERY||
AMERICAN RED CROSS|ARC|318 S COURT ST|FLORENCE|35630||34.798211|-87.674644|-1|BLOOD CENTER|LAUDERDALE||
AMERICAN RED CROSS BLOOD SERVICES|ARCBS|700 A UNIVERSITY BLVD.|MOBILE|36609||30.660834|-88.162462|-1|BLOOD CENTER|MOBILE||
AMERICAN RED CROSS BLOOD SERVICES|ARCBS|1004 MONTEZUMA STREET|DOTHAN|36303||31.237968|-85.413173|-1|BLOOD CENTER|HOUSTON||
AMR OF JEFFERSON COUNTY|AGC|124 W PARK DR|BIRMINGHAM|35211||33.457414|-86.84482|753.63|EMS|JEFFERSON||
AMR OF MOBILE COUNTY|AMC|22 MIDTOWN PARK W|MOBILE|36606||30.688113|-88.122208|33.85|EMS|MOBILE||
AMR OF TUSCALOOSA COUNTY|ATC|2905 6TH ST|TUSCALOOSA|35401||33.206808|-87.574761|216.36|EMS|TUSCALOOSA||
ANDALUSIA HEALTH CARE|AHC|200 HILLCREST DRIVE|ANDALUSIA|36420||31.313584|-86.501964|306.43|NURSING HOME|COVINGTON||
ANDALUSIA MANOR|AMNH|670 MOORE ROAD|ANDALUSIA|36420||31.290028|-86.49796|341.02|NURSING HOME|COVINGTON||
ANDALUSIA REGIONAL HOSPITAL|ARH|849 SOUTH THREE NOTCH STREET |ANDALUSIA|36420||31.292642|-86.502332|356.3|HOSPITAL|COVINGTON||6530050
ANDALUSIA RESCUE SQUAD|ANRS|103 OPP AVE|ANDALUSIA|36420||31.308444|-86.48416|326.27|EMS|COVINGTON||
ANDERSON RESCUE SQUAD|ARS|7262 HWY 207|ANDERSON|35610||34.923729|-87.268953|666.75|EMS|LAUDERDALE||
ANNISTON EMERGENCY MEDICAL SERVICES|AMMS|210 W 14TH ST|ANNISTON|36201||33.662163|-85.833302|723.32|EMS|CALHOUN||
ANNISTON FIRE-RESCUE|ANFR|225 EAST 17TH ST|ANNISTON|36207||33.666537|-85.826113|758.02|EMS|CALHOUN||
ANNISTON QUALITY HEALTH & DENTAL CENTER|QLHS-|1316 NOBLE ST, STE I-A|ANNISTON|36201|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|ETOWAH||0
ARAB AMBULANCE SERVICE|ARABA|102 2ND AVE N.W.|ARAB|35016||34.319437|-86.496398|1110.51|EMS|MARSHALL||
ARC OF THE SHOALS, THE|ATSNH|901 KELLER LANE|TUSCUMBIA|35674||34.743641|-87.705975|507.67|NURSING HOME|COLBERT||
ARDMORE FIRE & RESCUE|AFR|26704 MAIN ST|ARDMORE|35739||34.991863|-86.842895|911.36|EMS|LIMESTONE||
AREA HEALTH DEVELOPMENT BOARD|AHDB|12701 PADGETT SWITCH RD.|BAYOU LA BATRE|36509||30.426025|-88.24079|33.73|COMMUNITY HEALTH CENTERS|MOBILE||
ARGO FIRE & RESCUE|ARGOF|8885 GADSDEN HWY|TRUSSVILLE|35173||33.689401|-86.527655|797.4|EMS|JEFFERSON||
ARITON RESCUE SQUAD|ARRS|787 EAST MAIN ST|ARITON|36311||31.600337|-85.718799|448.72|EMS|DALE||
ASHFORD AMBULANCE & RESCUE SQUAD|AARS|521 N BROADWAY ST|ASHFORD|36312||31.197963|-85.233457|274.14|EMS|HOUSTON||
ASHVILLE FIRE & RESCUE|ASFR|222 7TH AVE|ASHVILLE|35953||33.835937|-86.252818|568.73|EMS|ST. CLAIR||
ATHENS CONVALESCENT CENTER, INC.|ACCI|611 WEST MARKET STREET|ATHENS|35611||34.803267|-86.975684|697.79|NURSING HOME|LIMESTONE||
ATHENS LIMESTONE HOSPITAL|ALH|700 WEST MARKET STREET|ATHENS|35611||34.803585|-86.977277|698.18|HOSPITAL|LIMESTONE||6530090
ATHENS LIMESTONE HOSPITAL EMERGENCY MEDICAL SERVICES|ALHEM|210 HORTON ST|ATHENS|35611||34.80501|-86.978712|695.98|EMS|LIMESTONE||
ATMORE AMBULANCE INC|AAI|121 S MAIN ST|ATMORE|36502||31.023624|-87.493639|283.24|EMS|ESCAMBIA||
ATMORE COMMUNITY HOSPITAL|ACH|401 MEDICAL PARK DRIVE| ATMORE|36502||31.018364|-87.479631|281.02|HOSPITAL|ESCAMBIA||6530100
ATMORE NURSING CENTER|ANC|715 EAST LAUREL STREET|ATMORE|36502||31.016237|-87.477409|280.08|NURSING HOME|ESCAMBIA||
ATTALLA FIRE & RESCUE|AFR|608 N 1ST ST|ATTALLA|35954||34.0506|-86.084|599.61|EMS|ETOWAH||
ATTALLA HEALTH CARE, INC.|AHCI|915 STEWART AVENUE, SOUTHEAST|ATTALLA|35954||33.984884|-86.107986|548.08|NURSING HOME|ETOWAH||
AUTAGAVILLE FAMILY HEALTH CENTER|HSI-A|203 NORTH TAYLOR STREET|AUTAUGAVILLE,|36003|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|MONTGOMERY||0
AUTAUGA COUNTY HEALTH DEPARTMENT|SCFGM|153 WEST FOURTH ST.|PRATTVILLE|36067|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|MONTGOMERY||0
BACCUS AMBULANCE SERVICE|BAAS|101 KIMBERLY AVE|MUSCLE SHOALS|35661||34.733341|-87.638077|524.63|EMS|COLBERT||
BAGLEY VOLUNTEER FIRE AND RESCUE|BVFR|7175 BANKHEAD HWY|DORA|35062||33.719031|-86.991295|429.92|EMS|JEFFERSON||
BAKER EVACUEE SHELTER|BES| | |0||-1|-1|-1|EVACUEE SHELTER|MOBILE||
BAKER HILL RESCUE SQUAD|BHRS|1463 CO RD 79 S|BAKER HILL|36027||31.784108|-85.306941|545.44|EMS|BARBOUR||
BALDWIN COUNTY COLISEUM|BCC|19477 FAIRGROUND ROAD|ROBERTSDALE|36567|251-947-3247|30.53803|-87.70411|0|EVACUEE SHELTER|BALDWIN||
BALDWIN COUNTY HIGH SCHOOL|BCHS|1 TIGER DRIVE|BAY MINETTE|36507|251-937-2341|30.894|-87.7924|0|EVACUEE SHELTER|BALDWIN||
BALDWIN COUNTY LEVEL II COMMUNITY SHELTER|BCLCS|207 NORTH WHITE AVE |BAY MINETTE|36507||30.888268|-87.772028|-1|MEDICAL NEEDS SHELTER|BALDWIN||
BALLPLAY #2 VOLUNTEER FIRE DEPARTMENT|B2VFD|2631 CROFT FERRY RD E|GADSDEN|35903||34.092827|-85.830216|569.85|EMS|ETOWAH||
BAPTIST HOSPITAL LIFEFLIGHT|BHL| |SEMMES|36575||-1|-1|-1|EMS|MOBILE||
BAPTIST MEDICAL CENTER EAST |BMCE|400 TAYLOR ROAD |MONTGOMERY|36124||32.376029|-86.17204|229.46|HOSPITAL|MONTGOMERY||6530800
BAPTIST MEDICAL CENTER SOUTH|BMCS| 2105 E. SOUTH BOULEVARD |MONTGOMERY|36111||32.327071|-86.271202|201.27|HOSPITAL|MONTGOMERY||6530705
BARFIELD HEALTH CARE, INC.|BHCI|22444 HIGHWAY 431|GUNTERSVILLE|35976||34.42383|-86.262462|622.62|NURSING HOME|MARSHALL||
BAY MINETTE MIDDLE SCHOOL|BMMS|1311 WEST 13TH STREET|BAY MINETTE|36507|251-580-2960|30.89373|-87.78218|0|EVACUEE SHELTER|BALDWIN||
BAYPOINTE BEHAVIORAL HEALTH|BBH|5800 SOUTHLAND DRIVE|MOBILE|36693||30.624548|-88.176004|95.95|HOSPITAL|MOBILE||
BECKWOOD MANOR NURSING HOME|BMNH|500 LEIGHTON AVENUE|ANNISTON|36202||33.650839|-85.825164|767.27|NURSING HOME|CALHOUN||
BESSEMER CLINIC AT CITY OF HOPE|BHC-B|1861 6TH AVENUE NORTH|BESSEMER|35020|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|JEFFERSON||0
BESSEMER FIRE DEPARTMENT|BEFD|1111 2ND AVE NORTH|BESSEMER|35020||33.393351|-86.959292|504.12|EMS|JEFFERSON||
BESSEMER KIDNEY CENTER|BKC|950 MEDICAL CENTER DRIVE|BESSEMER|35023||33.371487|-86.989176|-1|DIALYSIS CENTER|JEFFERSON||
BEVERLY HEALTHCARE-ARAB|BHA|235 THIRD STREET, S.E.|ARAB|35016||34.311438|-86.493217|1045.59|NURSING HOME|MARSHALL||
BEVERLY HEALTHCARE-BOAZ|BHB|600 CORLEY AVENUE|BOAZ|35957||34.220037|-86.160863|1050.25|NURSING HOME|MARSHALL||
BEVERLY HEALTHCARE-EASTERN SHORE|BHES|108 SOUTH CHURCH STREET|FAIRHOPE|36533||30.519712|-87.905058|113.5|NURSING HOME|BALDWIN||
BEVERLY HEALTHCARE-FOLEY|BHF|1701 NORTH ALSTON STREET|FOLEY|36535||30.426737|-87.685658|85.34|NURSING HOME|BALDWIN||
BEVERLY HEALTHCARE-HUEYTOWN|BHH|190 BROOKLANE DRIVE|HUEYTOWN|35023||33.447363|-86.979163|521.79|NURSING HOME|JEFFERSON||
BEVERLY HEALTHCARE-INGRAM|BHI|510 WOLF CREEK ROAD, NORTH|PELL CITY|35125||33.595757|-86.310462|525.85|NURSING HOME|ST. CLAIR||
BEVERLY HEALTHCARE-LANETT|BHL|702 SOUTH 13TH STREET|LANETT|36863||32.857079|-85.195394|631.09|NURSING HOME|CHAMBERS||
BEVERLY HEALTHCARE-MEADOWOOD|BHM|820 GOLF COURSE ROAD|BESSEMER|35023||33.370574|-86.990839|577.14|NURSING HOME|JEFFERSON||
BEVERLY HEALTHCARE-ONEONTA|BHO|215 VALLEY ROAD|ONEONTA|35121||33.951817|-86.466922|849.92|NURSING HOME|BLOUNT||
BEVERLY HEALTHCARE-OXFORD|BHO|1130 SOUTH HALE STREET|OXFORD|36203||33.608186|-85.829764|617.03|NURSING HOME|CALHOUN||
BEVERLY HEALTHCARE-RIVERCHASE|BHR|2500 RIVERHAVEN DRIVE|BIRMINGHAM|35244||33.376361|-86.79057|584.25|NURSING HOME|JEFFERSON||
BEVERLY HEALTHCARE-WINFIELD|BHW|144 COUNTY HIGHWAY 14|WINFIELD|35594||33.937563|-87.820503|504.93|NURSING HOME|MARION||
BEVILL STATE COMMUNITY COLLEGE|BSCC|101 STATE ST|SUMITON|35148||33.7577|-87.04982|511.52|EMS|WALKER||
BIBB MEDICAL CENTER|BMC|208 PIERSON AVENUE|CENTREVILLE|35042||32.951518|-87.144456|251.62|HOSPITAL|BIBB||6530314
BIBB MEDICAL CENTER NURSING HOME|BMCNH|208 PIERSON AVENUE|CENTREVILLE|35042||32.950501|-87.148263|252.71|NURSING HOME|CONECUH||6530314
BIG SPRINGS SPECIALTY CARE CENTER|BSSCC|500 ST. CLAIR AVENUE, SOUTHWEST|HUNTSVILLE|35801||34.721837|-86.585556|609.02|NURSING HOME|MADISON||
BILL NICHOLS STATE VETERANS HOME|BNSVH|1784 ELKAHATCHEE ROAD|ALEXANDER CITY|35010||32.921324|-85.969116|690.14|NURSING HOME|TALLAPOOSA||
BIO LIFE PLASMA SERVICE|BLPS|3460 DEMETROPOLIS RD|MOBILE|36693||30.620635|-88.157241|-1|BLOOD CENTER|MOBILE||
BIRMINGHAM FIRE & RESCUE SERVICE|BFRS|1808 7TH AVE N|BIRMINGHAM|35203||33.519233|-86.812438|617.33|EMS|JEFFERSON||
BIRMINGHAM HEALTH CARE - CHC AGENCY|BHC|1600 20TH STREET SOUTH|BIRMINGHAM|35202||33.496675|-86.792869|757.52|COMMUNITY HEALTH CENTERS|JEFFERSON||
BIRMINGHAM HEALTH CARE MEDICAL PLAZA|BHC-B|1600 20TH STREET SOUTH|BIRMINGHAM|35205|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|JEFFERSON||0
BIRMINGHAM HEALTH CARE METRO FAMILY|BHC-B|712 25TH STREET NORTH|BIRMINGHAM|35203|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|JEFFERSON||0
BIRMINGHAM NURSING AND REHABILITATION CENTER|BNRC|1000 DUGAN AVENUE|BIRMINGHAM|35214||33.547451|-86.882486|625.78|NURSING HOME|JEFFERSON||
BIRMINGHAM NURSING AND REHABILITATION CENTER EAST|BNRCE|733 MARY VANN LANE|BIRMINGHAM|35215||33.634563|-86.665639|749.68|NURSING HOME|JEFFERSON||
BIRMINGPORT FIRE DISTRICT|BFD|9158 TAYLOR'S FERRY RD|BESSEMER|35023||33.515667|-87.150555|522.16|EMS|JEFFERSON||
BLOOD ASSURANCE, INC|BAI|1906 GLENN BOULVARD|FORT PAYNE|35968||34.438434|-85.759342|-1|BLOOD CENTER|DEKALB||
BLOUNT EMS INC.|BEMSI|375 VALLEY RD|ONEONTA|35121||33.953301|-86.464308|852.57|EMS|BLOUNT||
BLOUNTSVILLE FIRE & RESCUE|BFR|LEE ST WEST|BLOUNTSVILLE|35031||34.0815|-86.5954|682.35|EMS|BLOUNT||
BMA OF MOBILE|BOM|1563 SPRINGHILL AVE|MOBILE|36604||30.692278|-88.073823|-1|DIALYSIS CENTER|MOBILE||
BOAZ FIRE & RESCUE|BOFR|201 BROWN ST|BOAZ|35957||34.200261|-86.163871|1101.35|EMS|MARSHALL||
BRANCHVILLE FIRE & RESCUE|BRFR|40 BLAIR FARM RD|BRANCHVILLE|35120||33.658688|-86.43162|784.49|EMS|ST. CLAIR||
BRANTLEY FIRE & RESCUE|BFR|9413 W EMMETT AVE|BRANTLEY|36009||31.581576|-86.265782|291.02|EMS|CRENSHAW||
BREWER MEDICAL SERVICES INC|BMSI|2724 N  JACKSON HWY|SHEFFIELD|35660||34.761017|-87.684132|524.18|EMS|COLBERT||
BREWTON ELEMENTARY SCHOOL|BES|901 DOUGLAS AVENUE|BREWTON|36426|251-867-8410|31.11876|-87.0685954|500|EVACUEE SHELTER|ESCAMBIA||
BRIERFIELD EMS RESCUE 800|BR800|18567 HWY 139|BRIERFIELD|35035||33.037019|-86.910317|362.91|EMS|BIBB||
BRIGHT BEGINNINGS PRESCHOOL|BBPS|602 SEEGERS STREET|ANDALUSIA|36420|334-222-1685|31.29983|-86.496093|100|EVACUEE SHELTER|COVINGTON||
BRINDLEE MOUNTAIN VOL FIRE DEPARTMENT|DMVFD|4434 U S HIGHWAY 231|UNION GROVE|35175||34.4355|-86.5297|989.01|EMS|MARSHALL||
BROOKSHIRE HEALTHCARE CENTER|BHCI|4320 JUDITH LANE|HUNTSVILLE|35805||34.716308|-86.630015|659.81|NURSING HOME|MADISON||
BROOKWOOD MEDICAL CENTER|BDMC|2010 BROOKWOOD MEDICAL CENTER DRIVE|BIRMINGHAM|35259||33.462906|-86.777288|833.14|HOSPITAL|JEFFERSON||6530175
BROWN NURSING HOME|BNH|2334 WASHINGTON STREET|ALEXANDER CITY|35010||32.953303|-85.980539|716.4|NURSING HOME|TALLAPOOSA||
BRYAN WHITFIELD MEMORIAL HOSPITAL|BWMH|105 U.S. HIGHWAY 80 EAST|DEMOPOLIS|36732||32.503138|-87.838473|153.8|HOSPITAL|MARENGO||6530345
BRYCE HOSPITAL|BH|200 UNIVERSITY BOULEVARD| TUSCALOOSA|35401||33.208218|-87.537805|213.37|HOSPITAL|TUSCALOOSA||6530950
BULLOCK COUNTY HOSPITAL|BCH|102 WEST CONECUH AVENUE |UNION SPRINGS|36089||32.143306|-85.71357|507.72|HOSPITAL|BULLOCK||6531013
BULLOCK COUNTY HOSPITAL AND NURSING HOME|BCHNH|102 WEST CONECUH AVENUE|UNION SPRINGS|36089||32.146337|-85.717017|530.94|NURSING HOME|BULLOCK||6531013
BURNS NURSING HOME, INC.|BNHI|701 MONROE STREET, NORTHWEST|RUSSELLVILLE|35653||34.514779|-87.73579|811.54|NURSING HOME|FRANKLIN||
BUTLER COUNTY COMMUNITY ACTION|SCFGM|1206 COMMERCE ST.|GREENVILLE|0|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|MONTGOMERY||0
BUTLER COUNTY EMERGENCY MEDICAL SERVICES LLC|BCEMS|285 MILL ST EAST|GEORGIANA|36033||31.637041|-86.739241|283.9|EMS|BUTLER||
CAHABA VALLEY FIRE & EMS JEFFERSON|CVFEJ|1960 REX LAKE RD|LEEDS|35094||33.490095|-86.638238|623.39|EMS|JEFFERSON||
CAHABA VALLEY FIRE & EMS SHELBY|CVFES|145 NARROWS DR|BIRMINGHAM|35242||33.3649|-86.6666|922.69|EMS|JEFFERSON||
CALCEDEAVER CLINIC|FOPHC|1080 AA RESERVATION ROAD|MT. VERNON|36560|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|MOBILE||0
CALERA FIRE AND RESCUE|CAFR|1310 17TH AVE|CALERA|35040||33.10196|-86.75546|495.57|EMS|SHELBY||
CAMDEN NURSING FACILITY, INC.|CNFI|210 PONDEROSA DRIVE|CAMDEN|36726||32.0051|-87.30716|236.97|NURSING HOME|WILCOX||
CANTERBERRY FAMILY PRACTICE CENTER|QLHS-|502 NORTH 27TH AVE|GADSDEN|35904|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|ETOWAH||0
CANTERBURY HEALTH CARE FACILITY|CHCF|1720 KNOWLES ROAD|PHENIX CITY|36869||32.448117|-85.018719|315|NURSING HOME|RUSSELL||
CAPITOL HILL HEALTHCARE CENTER|CHHC|520 SOUTH HULL STREET|MONTGOMERY|36104||32.371476|-86.303661|281.5|NURSING HOME|MONTGOMERY||
CARBON HILL VOLUNTEER RESCUE SQUAD|CVRS|215 NE 2ND AVE|CARBON HILL|35549||33.889227|-87.527256|441.09|EMS|WALKER||
CARE AMBULANCE DALE|CAD|239 YOUND AVE|OZARK|36107||0|0|-1|EMS|DALE||
CARE AMBULANCE DALLAS|CAD|912 HIGHLAND AVE|SELMA|36701||32.431163|-87.02713|150.42|EMS|DALLAS||
CARE AMBULANCE ELMORE|CAEL|214 BARNETT BLVD|TALLASSEE|36078||32.53599|-85.892954|389.81|EMS|ELMORE||
CARE AMBULANCE HOUSTON|CAH|668  S OATES ST|DOTHAN|36301||31.216099|-85.393211|340.04|EMS|HOUSTON||
CARE AMBULANCE LOWNDES|CAL|1 PLASTICS DR|BURKVILLE|36752||32.313563|-86.511663|230.06|EMS|LOWNDES||
CARE AMBULANCE MACON|CAM|807 E MARTIN LUTHER KING HWY|TUSKEGEE|36083||32.427609|-85.683377|351.83|EMS|MACON||
CARE AMBULANCE MONTGOMERY|CAMY|939 S PERRY ST|MONTGOMERY|36104||32.364336|-86.306837|223.2|EMS|MONTGOMERY||
CARE AMBULANCE OF PIKE CO|CAPC|521 S THREE NOTCH ST|TROY|36081||31.799486|-85.97453|470.72|EMS|PIKE||
CARE AMBULANCE RUSSELL|CAR|625 8TH PLACE|PHENIX CITY|36867||32.460862|-85.002749|308.64|EMS|RUSSELL||
CARE CENTER OF OPELIKA|CCO|1908 1/2 PEPPERELL PARKWAY|OPELIKA|36801||32.638486|-85.401114|741.39|NURSING HOME|LEE||
CARINGTON HEALTH CENTER AT CARLTON COVE, THE|CHCCC|ONE CROWN CIRCLE|HUNTSVILLE|35802||34.667314|-86.58329|601.57|NURSING HOME|MADISON||
CEDAR CREST|CCNH|4490 VIRGINIA LOOP ROAD|MONTGOMERY|36116||32.317972|-86.239072|253.97|NURSING HOME|MONTGOMERY||
CENTER POINT FIRE & RESCUE|CPFR|2229  CENTER POINT PKWY|CENTER POINT|35215||33.643215|-86.683564|871.21|EMS|JEFFERSON||
CENTRAL ALABAMA COMPREHENSIVE HEALTH|CACH|203 West Lee Street|Tuskegee|36087||32.424258|-85.693416|454.37|COMMUNITY HEALTH CENTERS|MACON||
CENTRAL ALABAMA COMPREHENSIVE HEALTH .|CACH-|203 W. LEE ST.|TUSKEGEE|36083|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|MACON||0
CENTRAL BALDWIN MIDDLE SCHOOL|CBMS|24545 HWY 59 SOUTH|ROBERTSDALE|36580|251-947-2327|30.5196|-87.70837|0|EVACUEE SHELTER|BALDWIN||
CENTRAL HEALTH CARE - HUNTSVILLE|CNAHS|751 PLEASANT ROW|HUNTSVILLE|35816|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|MADISON||0
CENTRAL HEALTH CARE -ATHENS|CNAHS|1005 WEST MARKET STREET|ATHENS|35611|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|MADISON||0
CENTRAL NORTH ALABAMA HEALTH SERVICES|CNAHS|110 Walker Ave.|Huntsville|35804||34.737915|-86.585518|631.28|COMMUNITY HEALTH CENTERS|MADISON||
CENTRAL PLAZA TOWERS MEDICAL CENTER|CP|300 BAYSHORE AVENUE|MOBILE|36617|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|MOBILE||0
CHAPMAN HEALTHCARE CENTER, INC.|CHCI|3701 DADEVILLE ROAD|ALEXANDER CITY|35010||32.909764|-85.915866|691.58|NURSING HOME|TALLAPOOSA||
CHATOM COMMUNITY CENTER|CCC|105 DIXIE YOUTH DRIVE (BEHIND DHR BUILDING)|CHATOM|36518|251-847-2097|31.4592007|-88.228692|100|EVACUEE SHELTER|WASHINGTON||
CHELSEA FIRE & RESCUE|CHFR|104 CHESSER DR|CHELSEA|35043||33.349595|-86.631681|595.75|EMS|SHELBY||
CHEROKEE COUNTY NURSING HOME|CCNH|877 CEDAR BLUFF ROAD|CENTRE|35960||34.166222|-85.660593|608.65|NURSING HOME|CHEROKEE||
CHEROKEE EMERGENCY MEDICAL SERVICES INC|CEMSI|1913 WEST MAIN ST|CENTRE|35960||34.160522|-85.713606|579.12|EMS|CHEROKEE||
CHEROKEE MEDICAL CENTER |BC|400 NORTHWOOD DRIVE|CENTRE|35960||34.162591|-85.651222|601.12|HOSPITAL|CHEROKEE||6530313
CHEROKEE RESCUE SQUAD|CHRS|1035 DANIEL ST|CHEROKEE|35616||34.755178|-87.973224|517.77|EMS|COLBERT||
CHERRY HILL HEALTHCARE CENTER|CHHCR|1250 JEFF GERMANY PARKWAY|BIRMINGHAM|35214||33.56182|-86.87126|642.85|NURSING HOME|JEFFERSON||
CHILDERSBURG AMBULANCE SERVICE|CAS|122 6TH AVE SW|CHILDERSBURG|35044||33.27819|-86.353499|420.07|EMS|TALLADEGA||
